,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count
38,2022-03-21 21:25:38+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/qLqNDr03Kj https://t.co/rOi1rzBxRE',3,0,2,0
39,2022-03-21 21:25:25+00:00,1390423077595516931,b'It took a lot of effort to draw this product. please buy this product . i need money urgently #OpenSeaNFT #Polygon #AnimeNFT #Cryptos #NFTs  #ETH   #UkraineRussianWar  #Ukraine #Dolar #Bitcoin #Anime https://t.co/nXJ01qGEzw',1,0,2,0
40,2022-03-21 21:25:16+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/lI8HdTHS83 https://t.co/cfVsZM0hIf',3,0,3,0
41,2022-03-21 21:25:05+00:00,1466496750777106437,b'Bitcoin Is Peace For The 9/11 Generation: The Dollar Is Not Safe https://t.co/6pHcgHFYWx $BTC\n#btc\n#Bitcoin \n#Cryptos \n#cryptotrading \n#eth\n#Ukraine',1,0,2,0
42,2022-03-21 21:24:00+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/6vI5XmRv1q https://t.co/9icAp3EkQ6',2,0,1,0
43,2022-03-21 21:22:07+00:00,1358486860029440000,b'CNN etc wont show u this side of ukraine \n\n#ukraine #russia #btc https://t.co/dssKygWF1a',0,0,2,0
44,2022-03-21 20:56:15+00:00,1390423077595516931,b'I need to sell this product urgently please buy this product. I worked hard for these drawings. please buy this product https://t.co/J5QQB68WRY #OpenSeaNFT #Polygon #AnimeNFT #Cryptos #NFTs  #ETH   #UkraineRussianWar  #Ukraine #Dolar #Bitcoin #Anime',2,0,2,1
45,2022-03-21 20:37:39+00:00,1423013140506284033,b'I SHUT #BITCOIN DOWN LIKE #UKRAINE.',0,1,2,0
46,2022-03-21 20:36:13+00:00,1469577636426833930,"b""English is versatile and it's capable cable being you can pinpoint important characteristics of anything with one word #Iran #chronic #JeffBezos  #paranormal #bank #weed  #loan #BTC #hiphop #india #Ukraine #Russia #poverty  #NickiMinaj #Raw #Czech #nft #gold \n#civilbenefits""",0,1,0,0
47,2022-03-21 20:34:01+00:00,25872456,b'The latest The Drewvid Daily! https://t.co/l1hjMzBscV Thanks to @Biz_Ukraine_Mag @RSR108 #bitcoin #ukraine',0,0,0,0
48,2022-03-21 20:27:45+00:00,1370469115706621955,b'Please fly a dove of peace for #Ukraine https://t.co/I0DDlsA5k1 @opensea #NFT #NFTs #BTC #UkraineRussianWar #UkraineUnderAttack @ZelenskyyUa @cz_binance @elonmusk @MetaKovan @binance @whale_alert @BillyM2k @justinsuntron @VitalikButerin',0,0,0,1
49,2022-03-21 20:22:23+00:00,1475241460307922950,"b'Can anybody tell me, Who Am I...?\n\n#NFTs #cryptocurrencies #Wordle275 #NFTGiveaways #nftart #ArtistOnTwitter #NFTshill #NFTProject #cozomodemedici #mediciminutes #puzzle #quiz #Ukraine #nft #Bitcoin #EthereumNFTs #beeple\n\nhttps://t.co/0Bz1YhEDe3 https://t.co/lKrUEkL53Z'",0,0,2,0
