time,open,high,low,close,Volume,Volume MA
2022-03-27T05:30:00Z,44714,44731,44641,44659,6415803.1958,5559657.479624959
2022-03-27T06:00:00Z,44659,44743,44637,44724,3907258.6424,5112384.247454959
2022-03-27T06:30:00Z,44724,44752,44653,44681,2846814.6759,4912590.702524959
2022-03-27T07:00:00Z,44681,44741,44653,44714,1499285.2719,4572514.741504959
2022-03-27T07:30:00Z,44714,44770,44685,44760,2020768.3071,4574140.407599959
2022-03-27T08:00:00Z,44760,44767,44629,44629,5831921.7059,4690047.278189959
2022-03-27T08:30:00Z,44629,44713,44614,44630,7489297.1149,4873968.460614959
2022-03-27T09:00:00Z,44630,44741,44621,44655,3917700.8955,4909000.141894959
2022-03-27T09:30:00Z,44655,44667,44562,44562,4204494.0739,4886305.140049959
2022-03-27T10:00:00Z,44562,44637,44500,44597,5874900.9862,5034075.5686449595
2022-03-27T10:30:00Z,44597,44623,44541,44547,1803117.6991,4918329.04275996
2022-03-27T11:00:00Z,44547,44616,44536,44612,1091128.4129,4827594.093464959
2022-03-27T11:30:00Z,44612,44660,44531,44575,7629145.1745,4965151.684834959
2022-03-27T12:00:00Z,44575,44610,44474,44519,12081944.9879,5050843.148994959
2022-03-27T12:30:00Z,44519,44554,44450,44452,3158889.4464,4926264.56930496
2022-03-27T13:00:00Z,44452,44573,44445,44570,5210692.0868,5093665.679194959
2022-03-27T13:30:00Z,44570,44677,44533,44640,3861667.2665,5173148.121264959
2022-03-27T14:00:00Z,44640,44762,44605,44739,11355950.2255,5553253.513909959
2022-03-27T14:30:00Z,44739,44739,44615,44643,6699106.2722,5153257.965084959
2022-03-27T15:00:00Z,44643,44879,44541,44851,7004428.1652,5195215.730324958
2022-03-27T15:30:00Z,44851,44960,44736,44884,6827623.6183,5215806.751449958
2022-03-27T16:00:00Z,44884,44949,44703,44865,7461907.4695,5393539.192804959
2022-03-27T16:30:00Z,44865,45066,44786,44980,12394177.8103,5870907.349524958
2022-03-27T17:00:00Z,44980,44997,44804,44853,3855720.1282,5988729.092339958
2022-03-27T17:30:00Z,44853,44964,44809,44941,2150436.2707,5995212.490519959
2022-03-27T18:00:00Z,44941,45009,44892,44913,4962428.8873,5951737.849589959
2022-03-27T18:30:00Z,44913,44919,44857,44862,3032576.0234,5728901.795014959
2022-03-27T19:00:00Z,44862,44909,44836,44889,2568300.183,5661431.759389958
2022-03-27T19:30:00Z,44889,44895,44825,44850,2115799.208,5556997.016094958
